LECROYWS3054,16293,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,29-Jul-2023 14:47:41,0                 
Time,Ampl
4.2475e-008,0.0333333
4.2725e-008,0.0333333
4.2975e-008,0.0366667
4.3225e-008,0.03
4.3475e-008,0.0266667
4.3725e-008,0.0233333
4.3975e-008,0.04
4.4225e-008,0.08
4.4475e-008,0.136667
4.4725e-008,0.186667
4.4975e-008,0.206667
4.5225e-008,0.186667
4.5475e-008,0.15
4.5725e-008,0.116667
4.5975e-008,0.0933333
4.6225e-008,0.07
4.6475e-008,0.0566667
4.6725e-008,0.0433333
4.6975e-008,0.0366667
4.7225e-008,0.0333333
4.7475e-008,0.0333333
4.7725e-008,0.0333333
4.7975e-008,0.0333333
4.8225e-008,0.0333333
4.8475e-008,0.0533333
4.8725e-008,0.0933333
4.8975e-008,0.143333
4.9225e-008,0.18
4.9475e-008,0.183333
4.9725e-008,0.156667
4.9975e-008,0.126667
5.0225e-008,0.0933333
5.0475e-008,0.07
5.0725e-008,0.0533333
5.0975e-008,0.0466667
5.1225e-008,0.0366667
5.1475e-008,0.0333333
5.1725e-008,0.03
5.1975e-008,0.03
5.2225e-008,0.03
5.2475e-008,0.0333333
5.2725e-008,0.03
5.2975e-008,0.0366667
5.3225e-008,0.0566667
5.3475e-008,0.1
5.3725e-008,0.156667
5.3975e-008,0.196667
5.4225e-008,0.203333
5.4475e-008,0.173333
5.4725e-008,0.133333
5.4975e-008,0.103333
5.5225e-008,0.08
5.5475e-008,0.06
5.5725e-008,0.0433333
5.5975e-008,0.0366667
5.6225e-008,0.03
5.6475e-008,0.0333333
5.6725e-008,0.03
5.6975e-008,0.0333333
5.7225e-008,0.03
5.7475e-008,0.03
5.7725e-008,0.02
5.7975e-008,0.0266667
5.8225e-008,0.0433333
5.8475e-008,0.0833333
5.8725e-008,0.13
5.8975e-008,0.156667
5.9225e-008,0.156667
5.9475e-008,0.136667
5.9725e-008,0.106667
5.9975e-008,0.0833333
6.0225e-008,0.0666667
6.0475e-008,0.0533333
6.0725e-008,0.04
6.0975e-008,0.0333333
6.1225e-008,0.03
6.1475e-008,0.03
6.1725e-008,0.03
6.1975e-008,0.03
6.2225e-008,0.0266667
6.2475e-008,0.0233333
6.2725e-008,0.0233333
6.2975e-008,0.0466667
6.3225e-008,0.09
6.3475e-008,0.14
6.3725e-008,0.173333
6.3975e-008,0.176667
6.4225e-008,0.146667
6.4475e-008,0.12
6.4725e-008,0.0866667
6.4975e-008,0.07
6.5225e-008,0.0566667
6.5475e-008,0.0433333
6.5725e-008,0.0333333
6.5975e-008,0.03
6.6225e-008,0.03
6.6475e-008,0.03
6.6725e-008,0.0266667
6.6975e-008,0.03
6.7225e-008,0.0333333
6.7475e-008,0.06
6.7725e-008,0.103333
6.7975e-008,0.143333
6.8225e-008,0.163333
6.8475e-008,0.153333
6.8725e-008,0.126667
6.8975e-008,0.1
6.9225e-008,0.0766667
6.9475e-008,0.0566667
6.9725e-008,0.0433333
6.9975e-008,0.0366667
7.0225e-008,0.03
7.0475e-008,0.03
7.0725e-008,0.0266667
7.0975e-008,0.0266667
7.1225e-008,0.0266667
7.1475e-008,0.03
7.1725e-008,0.0233333
7.1975e-008,0.0366667
7.2225e-008,0.0633333
7.2475e-008,0.11
7.2725e-008,0.156667
7.2975e-008,0.183333
7.3225e-008,0.166667
7.3475e-008,0.136667
7.3725e-008,0.106667
7.3975e-008,0.0833333
7.4225e-008,0.0633333
7.4475e-008,0.0466667
7.4725e-008,0.0366667
7.4975e-008,0.0333333
7.5225e-008,0.03
7.5475e-008,0.03
7.5725e-008,0.0266667
7.5975e-008,0.03
7.6225e-008,0.03
7.6475e-008,0.0266667
7.6725e-008,0.02
7.6975e-008,0.03
7.7225e-008,0.0533333
7.7475e-008,0.09
7.7725e-008,0.126667
7.7975e-008,0.143333
7.8225e-008,0.133333
7.8475e-008,0.11
7.8725e-008,0.0866667
7.8975e-008,0.07
7.9225e-008,0.0566667
7.9475e-008,0.0466667
7.9725e-008,0.0333333
7.9975e-008,0.03
8.0225e-008,0.0266667
8.0475e-008,0.03
8.0725e-008,0.0266667
8.0975e-008,0.0266667
8.1225e-008,0.0233333
8.1475e-008,0.0233333
8.1725e-008,0.0266667
8.1975e-008,0.0566667
8.2225e-008,0.0966667
8.2475e-008,0.133333
8.2725e-008,0.156667
8.2975e-008,0.143333
8.3225e-008,0.116667
8.3475e-008,0.0933333
8.3725e-008,0.07
8.3975e-008,0.0566667
8.4225e-008,0.0433333
8.4475e-008,0.0366667
8.4725e-008,0.03
8.4975e-008,0.0266667
8.5225e-008,0.0233333
8.5475e-008,0.0266667
8.5725e-008,0.0233333
8.5975e-008,0.0266667
8.6225e-008,0.04
8.6475e-008,0.07
8.6725e-008,0.11
8.6975e-008,0.14
8.7225e-008,0.146667
8.7475e-008,0.13
8.7725e-008,0.103333
8.7975e-008,0.08
8.8225e-008,0.0633333
8.8475e-008,0.0466667
8.8725e-008,0.0366667
8.8975e-008,0.03
8.9225e-008,0.0266667
8.9475e-008,0.0266667
8.9725e-008,0.0233333
8.9975e-008,0.0266667
9.0225e-008,0.0233333
9.0475e-008,0.0266667
9.0725e-008,0.0266667
9.0975e-008,0.04
9.1225e-008,0.0733333
9.1475e-008,0.113333
9.1725e-008,0.146667
9.1975e-008,0.156667
9.2225e-008,0.136667
9.2475e-008,0.11
9.2725e-008,0.0833333
9.2975e-008,0.0666667
9.3225e-008,0.05
9.3475e-008,0.04
9.3725e-008,0.03
9.3975e-008,0.0266667
9.4225e-008,0.0266667
9.4475e-008,0.0266667
9.4725e-008,0.0233333
9.4975e-008,0.0266667
9.5225e-008,0.0233333
9.5475e-008,0.0233333
9.5725e-008,0.02
9.5975e-008,0.03
9.6225e-008,0.06
9.6475e-008,0.09
9.6725e-008,0.116667
9.6975e-008,0.12
9.7225e-008,0.1
9.7475e-008,0.0866667
9.7725e-008,0.0666667
9.7975e-008,0.0533333
9.8225e-008,0.0433333
9.8475e-008,0.0366667
9.8725e-008,0.0266667
9.8975e-008,0.0266667
9.9225e-008,0.0233333
9.9475e-008,0.0266667
9.9725e-008,0.0233333
9.9975e-008,0.0266667
1.00225e-007,0.02
1.00475e-007,0.0233333
1.00725e-007,0.0333333
1.00975e-007,0.0633333
1.01225e-007,0.1
1.01475e-007,0.126667
1.01725e-007,0.13
1.01975e-007,0.116667
1.02225e-007,0.0933333
1.02475e-007,0.0733333
1.02725e-007,0.0566667
1.02975e-007,0.0466667
1.03225e-007,0.0366667
1.03475e-007,0.03
1.03725e-007,0.0233333
1.03975e-007,0.0266667
1.04225e-007,0.0233333
1.04475e-007,0.0266667
1.04725e-007,0.0233333
1.04975e-007,0.0266667
1.05225e-007,0.0466667
1.05475e-007,0.0766667
1.05725e-007,0.11
1.05975e-007,0.126667
1.06225e-007,0.123333
1.06475e-007,0.103333
1.06725e-007,0.08
1.06975e-007,0.0633333
1.07225e-007,0.0466667
1.07475e-007,0.04
1.07725e-007,0.03
1.07975e-007,0.0266667
1.08225e-007,0.0233333
1.08475e-007,0.0266667
1.08725e-007,0.0233333
1.08975e-007,0.0233333
1.09225e-007,0.0233333
1.09475e-007,0.0266667
1.09725e-007,0.0266667
1.09975e-007,0.05
1.10225e-007,0.0833333
1.10475e-007,0.12
1.10725e-007,0.14
1.10975e-007,0.136667
1.11225e-007,0.113333
1.11475e-007,0.09
1.11725e-007,0.0666667
1.11975e-007,0.0533333
1.12225e-007,0.0433333
1.12475e-007,0.0333333
1.12725e-007,0.0233333
1.12975e-007,0.0266667
1.13225e-007,0.0233333
1.13475e-007,0.0266667
1.13725e-007,0.0233333
1.13975e-007,0.0266667
1.14225e-007,0.02
1.14475e-007,0.02
1.14725e-007,0.02
1.14975e-007,0.0366667
1.15225e-007,0.0633333
1.15475e-007,0.0866667
1.15725e-007,0.0966667
1.15975e-007,0.0966667
1.16225e-007,0.08
1.16475e-007,0.0666667
1.16725e-007,0.05
1.16975e-007,0.04
1.17225e-007,0.0333333
1.17475e-007,0.03
1.17725e-007,0.0233333
1.17975e-007,0.0233333
1.18225e-007,0.0233333
1.18475e-007,0.0266667
1.18725e-007,0.02
1.18975e-007,0.02
1.19225e-007,0.0166667
1.19475e-007,0.0233333
1.19725e-007,0.04
1.19975e-007,0.0733333
1.20225e-007,0.1
1.20475e-007,0.116667
1.20725e-007,0.113333
1.20975e-007,0.0933333
1.21225e-007,0.0766667
1.21475e-007,0.06
1.21725e-007,0.0433333
1.21975e-007,0.04
1.22225e-007,0.03
1.22475e-007,0.0266667
1.22725e-007,0.02
1.22975e-007,0.0233333
1.23225e-007,0.0233333
1.23475e-007,0.0233333
1.23725e-007,0.02
1.23975e-007,0.03
1.24225e-007,0.0466667
1.24475e-007,0.07
1.24725e-007,0.0966667
1.24975e-007,0.103333
1.25225e-007,0.0933333
1.25475e-007,0.0766667
1.25725e-007,0.0566667
1.25975e-007,0.0466667
1.26225e-007,0.0366667
1.26475e-007,0.0333333
1.26725e-007,0.0233333
1.26975e-007,0.0233333
1.27225e-007,0.0233333
1.27475e-007,0.0233333
1.27725e-007,0.02
1.27975e-007,0.0233333
1.28225e-007,0.02
1.28475e-007,0.0233333
1.28725e-007,0.03
1.28975e-007,0.0566667
1.29225e-007,0.0933333
1.29475e-007,0.123333
1.29725e-007,0.13
1.29975e-007,0.116667
1.30225e-007,0.0933333
1.30475e-007,0.0733333
1.30725e-007,0.0533333
1.30975e-007,0.0433333
1.31225e-007,0.0333333
1.31475e-007,0.0266667
1.31725e-007,0.02
1.31975e-007,0.0233333
1.32225e-007,0.02
1.32475e-007,0.0233333
1.32725e-007,0.02
1.32975e-007,0.0233333
1.33225e-007,0.02
1.33475e-007,0.02
1.33725e-007,0.02
1.33975e-007,0.04
1.34225e-007,0.0633333
1.34475e-007,0.0766667
1.34725e-007,0.08
1.34975e-007,0.0733333
1.35225e-007,0.0633333
1.35475e-007,0.0466667
1.35725e-007,0.04
1.35975e-007,0.0333333
1.36225e-007,0.0266667
1.36475e-007,0.0266667
